tconst,titleType,primaryTitle,startYear,runtimeMinutes,genres,averageRating,numVotes,nconst,director
tt0455829,movie,Vettaiyaadu Vilaiyaadu,2006,174,"Action,Crime,Thriller",7.9,6120,nm1069826,Gautham Vasudev Menon
tt0455857,movie,When a Stranger Calls,2006,87,"Horror,Thriller",5.1,41317,nm0922346,Simon West
tt0455915,movie,Black Irish,2007,95,Drama,7,2416,nm1048533,Brad Gann
tt0455944,movie,The Equalizer,2014,132,"Action,Crime,Thriller",7.2,314807,nm0298807,Antoine Fuqua
tt0455957,movie,Goya's Ghosts,2006,113,"Biography,Drama,History",6.9,28549,nm0001232,Milos Forman
tt0455960,movie,The Hitcher,2007,84,"Crime,Thriller",5.6,39479,nm0583515,Dave Meyers
tt0455961,movie,Hoboken Hollow,2006,98,Horror,3.7,1126,nm0827023,Glen Stephens
tt0455967,movie,John Tucker Must Die,2006,89,"Comedy,Romance",5.8,77082,nm0858525,Betty Thomas
tt0456014,movie,Surf School,2006,87,"Comedy,Sport",2.1,4827,nm0798926,Joel Silverman
tt0456020,movie,Waist Deep,2006,97,"Action,Crime,Drama",5.9,9121,nm0193554,Vondie Curtis-Hall
tt0456047,movie,Bizim Aile,1975,88,"Comedy,Drama,Family",8.4,5086,nm0649405,Ergin Orbey
tt0456111,movie,The Night of the Sunflowers,2006,123,"Crime,Drama,Thriller",7.1,2625,nm0845207,Jorge Sánchez-Cabezudo
tt0456121,movie,Train Man,2005,105,"Comedy,Romance",6.6,2147,nm1233600,Shôsuke Murakami
tt0456123,movie,Dikkenek,2006,84,Comedy,6.9,4169,nm1196794,Olivier Van Hoofstadt
tt0456144,movie,"Carry On, Munna Bhai",2006,144,"Comedy,Drama,Romance",8.1,40146,nm0386246,Rajkumar Hirani
tt0456149,movie,The Death of Mr. Lazarescu,2005,153,"Comedy,Drama",7.9,12600,nm1090998,Cristi Puiu
tt0456165,movie,Salaam Namaste,2005,158,"Comedy,Drama,Romance",6.2,6358,nm1893457,Siddharth Anand
tt0456340,movie,Chaotic Ana,2007,118,"Drama,Mystery,Romance",6.4,4287,nm0575523,Julio Medem
tt0456396,movie,The Child,2005,95,"Crime,Drama,Romance",7.5,16922,nm0201094,Jean-Pierre Dardenne
tt0456413,movie,Fight Club: Members Only,2006,140,"Action,Crime",3.2,1274,nm0159146,Abhay Chopra
tt0456467,movie,Un mundo maravilloso,2006,118,"Comedy,Drama,Thriller",6.9,1230,nm0261840,Luis Estrada
tt0456470,movie,The Bow,2005,90,"Drama,Romance",7.2,10234,nm1104118,Ki-duk Kim
tt0456481,movie,Jaan-E-Mann: Let's Fall in Love... Again,2006,165,"Drama,Musical,Romance",6.1,7641,nm1145655,Shirish Kunder
tt0456500,movie,Kyaa Kool Hai Hum,2005,172,"Comedy,Mystery",6.1,3003,nm0803350,Sangeeth Sivan
tt0456554,movie,Grandma's Boy,2006,94,Comedy,7,75212,nm0329650,Nicholaus Goossen
tt0456630,movie,Reincarnation,2005,96,"Horror,Mystery",6.2,5972,nm1234345,Takashi Shimizu
tt0456658,movie,Shanghai Dreams,2005,123,Drama,7,1017,nm0911075,Xiaoshuai Wang
tt0456821,movie,About Love,2005,102,Romance,6.4,1110,nm1033087,Ten Shimoyama
tt0456899,movie,Lower City,2005,98,Drama,6.6,3560,nm0532509,Sérgio Machado
tt0456912,movie,A Bittersweet Life,2005,119,"Action,Crime,Drama",7.6,33482,nm0453518,Jee-woon Kim
tt0457007,movie,Crying Fist,2005,134,"Action,Drama,Sport",7.3,2710,nm0753423,Seung-wan Ryoo
tt0457275,movie,Altered,2006,88,"Horror,Sci-Fi,Thriller",5.6,9803,nm0844896,Eduardo Sánchez
tt0457297,movie,The Butterfly Effect 2,2006,92,"Drama,Sci-Fi,Thriller",4.5,33446,nm0502954,John R. Leonetti
tt0457308,movie,Come Early Morning,2006,97,"Drama,Romance",6.1,2502,nm0000725,Joey Lauren Adams
tt0457400,movie,Land of the Lost,2009,102,"Action,Adventure,Comedy",5.3,62608,nm0797869,Brad Silberling
tt0457414,movie,Midnight Movies: From the Margin to the Mainstream,2005,88,Documentary,7.4,1403,nm0760523,Stuart Samuels
tt0457419,movie,Mr. Magorium's Wonder Emporium,2007,93,"Comedy,Family,Fantasy",6.2,41300,nm1590998,Zach Helm
tt0457430,movie,Pan's Labyrinth,2006,118,"Drama,Fantasy,War",8.2,590861,nm0868219,Guillermo del Toro
tt0457433,movie,Perfect Stranger,2007,109,"Crime,Drama,Horror",5.7,43445,nm0001226,James Foley
tt0457495,movie,Alex Rider: Operation Stormbreaker,2006,93,"Action,Adventure,Family",5.1,22637,nm0768249,Geoffrey Sax
tt0457496,movie,Street Fight,2005,83,Documentary,8,1821,nm1903582,Marshall Curry
tt0457510,movie,Nacho Libre,2006,92,"Comedy,Family,Sport",5.7,78002,nm0381478,Jared Hess
tt0457513,movie,Scoop,2006,96,"Comedy,Crime,Fantasy",6.7,77805,nm0000095,Woody Allen
tt0457572,movie,Fido,2006,93,"Comedy,Drama,Horror",6.7,27530,nm0192933,Andrew Currie
tt0457655,movie,After the Wedding,2006,120,Drama,7.7,30428,nm0081540,Susanne Bier
tt0457802,movie,The Blue Umbrella,2005,90,"Comedy,Drama,Family",7.6,1682,nm0080235,Vishal Bhardwaj
tt0457875,movie,Ek Ajnabee,2005,142,"Action,Drama,Thriller",5.2,1501,nm0482232,Apoorva Lakhia
tt0457939,movie,The Holiday,2006,136,"Comedy,Romance",6.9,230737,nm0583600,Nancy Meyers
tt0458050,movie,Paruthiveeran,2007,162,"Action,Drama,Romance",8.1,2851,nm1417119,Ameer Sultan
